Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Stoneco ltd,STNE,"",284542.0,6195000.0,0.0785,0.555,46,-1464231.0,-83.729049,reduction,0.1025894,Q2 2019,FINANCE,"","",31.41
Mcdonalds corp.,MCD,"",29461.0,4872000.0,0.0617,0.0032,47,27413.0,1338.525391,addition,0.0039624,Q4 2019,CONSUMER DISCRETIONARY,"","",167.5926
Smiledirectclub inc,SDC,"",986445.0,4607000.0,0.0584,,48,986445.0,,new,0.2562411,Q1 2020,HEALTH CARE,"","",4.67
Walt disney co. (the),DIS,"",46391.0,4481000.0,0.0568,0.0051,49,41986.0,953.144154,addition,0.0025695,Q3 2019,COMMUNICATIONS,"","",99.8018
Tanger factory outlet centers inc,SKT,"",290628.0,1453000.0,0.0184,,50,290628.0,,new,0.3122457,Q1 2020,REAL ESTATE,"","",5.0
Vanguard ftseeuropean etf,VGK,"",27172.0,1176000.0,0.0149,,51,27172.0,,new,No Data,Q1 2020,FINANCE,"","",43.28
Post holdings inc,POST,"",13689.0,1136000.0,0.0144,,52,13689.0,,new,0.0195818,Q1 2020,CONSUMER STAPLES,"","",82.97
Vanguard total stock market etf,VTI,"",8781.0,1132000.0,0.0143,0.0327,53,-16375.0,-65.093815,reduction,No Data,Q3 2019,FINANCE,"","",151.0
National beverage corp,FIZZ,"",44778.0,955000.0,0.0121,,54,44778.0,,new,0.0480281,Q1 2020,CONSUMER STAPLES,"","",42.65
Mastercard inc,MA,"",3793.0,917000.0,0.0116,4.9965,55,-2099570.0,-99.81967,reduction,0.0003774,Q4 2018,FINANCE,"","",221.45
Iqvia holdings inc,IQV,"",8281.0,893000.0,0.0113,0.212,56,-164163.0,-95.197861,reduction,0.0042948,Q3 2019,HEALTH CARE,"","",149.38
Jack in the box  inc,JACK,"",25160.0,882000.0,0.0112,,57,25160.0,,new,0.1111761,Q1 2020,CONSUMER DISCRETIONARY,"","",35.05
Mondelez international inc. (kraft foods),MDLZ,"",17608.0,882000.0,0.0112,0.0371,58,-67083.0,-79.209125,reduction,0.0012316,Q1 2019,CONSUMER STAPLES,"","",54.55
Freshpet inc,FRPT,"",13681.0,874000.0,0.0111,0.0391,59,-69565.0,-83.565577,reduction,0.0340617,Q1 2019,CONSUMER DISCRETIONARY,"","",55.41
Helen of troy ltd.,HELE,"",6023.0,867000.0,0.011,,60,6023.0,,new,0.0239295,Q1 2020,CONSUMER STAPLES,"","",144.03
Vivint solar inc,VSLR1,"",182454.0,797000.0,0.0101,,61,182454.0,,new,0.1463493,Q1 2020,ENERGY,"","",4.37
Boston beer inc class a,SAM,"",2127.0,782000.0,0.0099,0.0123,62,-1955.0,-47.89319,reduction,0.0174652,Q2 2019,CONSUMER STAPLES,"","",377.81
Clorox co.,CLX,"",4403.0,763000.0,0.0097,,63,4403.0,,new,0.0035196,Q1 2020,CONSUMER STAPLES,"","",173.25
Home depot  inc. (the),HD,"",4066.0,759000.0,0.0096,,64,4066.0,,new,0.0003785,Q1 2020,CONSUMER DISCRETIONARY,"","",186.71
Wingstop inc,WING,"",9383.0,748000.0,0.0095,,65,9383.0,,new,0.0317171,Q4 2018,CONSUMER DISCRETIONARY,"","",79.7
Tractor supply company,TSCO,"",8713.0,737000.0,0.0093,0.0088,66,-3169.0,-26.670594,reduction,0.0075096,Q4 2019,CONSUMER DISCRETIONARY,"","",93.44
Grubhub inc,GRUB1,"",8851.0,721000.0,0.0091,0.005,67,2386.0,36.906419,addition,0.0192588,Q2 2019,COMMUNICATIONS,"","",46.5077
Ishares msci united kingdom etf-ishares msci united kingdom etf,EWU,"",29693.0,709000.0,0.009,0.0265,68,-67819.0,-69.549389,reduction,No Data,Q2 2019,FINANCE,"","",33.94
Papa johns international inc.,PZZA,"",13057.0,697000.0,0.0088,0.0225,69,-31759.0,-70.865316,reduction,0.0404434,Q1 2018,CONSUMER DISCRETIONARY,"","",52.45
Sherwin-williams co.,SHW,"",4260.0,653000.0,0.0083,,70,4260.0,,new,0.0015468,Q1 2020,MATERIALS,"","",459.52
Dollar general corp.,DG,"",4304.0,650000.0,0.0082,0.0025,71,2314.0,116.281407,addition,0.0017112,Q1 2019,CONSUMER DISCRETIONARY,"","",154.6765
Adobe systems  inc.,ADBE,"",1981.0,630000.0,0.008,3.6508,72,-1389383.0,-99.857622,reduction,0.0004112,Q3 2017,INFORMATION TECHNOLOGY,"","",247.11
Kimberly-clark corp.,KMB,"",4866.0,622000.0,0.0079,,73,4866.0,,new,0.0014289,Q2 2019,CONSUMER STAPLES,"","",127.87
Lowes companies  inc.,LOW,"",7162.0,616000.0,0.0078,,74,7162.0,,new,0.0009487,Q1 2020,CONSUMER DISCRETIONARY,"","",86.05
B&g foods  inc.,BGS,"",33852.0,612000.0,0.0078,0.0035,75,9542.0,39.251337,addition,0.0528569,Q4 2019,CONSUMER STAPLES,"","",17.9751
Procter & gamble co. (oh) (1905),PG,"",5551.0,611000.0,0.0077,0.0104,76,-4964.0,-47.208749,reduction,0.0002242,Q1 2019,CONSUMER STAPLES,"","",120.35
Campbell soup co.,CPB,"",12644.0,584000.0,0.0074,0.0375,77,-82625.0,-86.728107,reduction,0.0041903,Q2 2019,CONSUMER STAPLES,"","",49.42
Shopify inc,SHOP,"",1367.0,570000.0,0.0072,1.6329,78,-514881.0,-99.735205,reduction,0.0012979,Q2 2017,COMMUNICATIONS,"","",97.12
Edgewell personal care company,EPC,"",23182.0,558000.0,0.0071,,79,23182.0,,new,0.0426897,Q1 2020,INDUSTRIALS,"","",24.08
Bjs wholesale club holdings inc,BJ,"",19813.0,505000.0,0.0064,0.0038,80,-950.0,-4.575447,reduction,0.0144339,Q4 2019,CONSUMER DISCRETIONARY,"","",22.74
