Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Dynatrace inc,DT,"",6466973.0,279826000.0,1.0468,1.4213,29,-134836.0,-2.04241,reduction,2.2924682,Q3 2019,INFORMATION TECHNOLOGY,"","",24.79
Alibaba group holding ltd adr,BABA,"",1167006.0,271597000.0,1.016,1.8006,30,0.0,0.0,,0.0431324,Q3 2016,COMMUNICATIONS,"","",135.7
Docusign inc,DOCU,"",1219968.0,271199000.0,1.0145,1.4811,31,-91124.0,-6.950237,reduction,0.6539388,Q4 2019,INFORMATION TECHNOLOGY,"","",187.14
Bath & body works inc (l brands),BBWI,"",7830338.65,235417000.0,0.8806,1.1258,32,-510986.14,-6.125959,reduction,2.2761270,Q3 2018,CONSUMER DISCRETIONARY,"","",31.81
Zillow group inc. class b,ZG,"",1698086.0,230837000.0,0.8635,0.5324,33,699078.0,69.977217,addition,2.8036163,Q3 2020,COMMUNICATIONS,"","",115.702
Wolfspeed inc (cree inc),WOLF,"",1928743.0,204254000.0,0.7641,0.7568,34,-333478.0,-14.741177,reduction,1.7479998,Q1 2020,INFORMATION TECHNOLOGY,"","",35.46
Expedia group inc,EXPE,"",1477423.0,195611000.0,0.7317,0.2078,35,1045521.0,242.073665,addition,1.0868361,Q3 2020,CONSUMER DISCRETIONARY,"","",120.4991
Broadcom ltd. (avago technologies),AVGO,"",376528.0,164863000.0,0.6167,0.6073,36,58944.0,18.560129,addition,0.0925783,Q1 2014,INFORMATION TECHNOLOGY,"","",203.4879
Gap (the),GPS,"",7393612.0,149277000.0,0.5584,0.4567,37,2283855.0,44.695961,addition,1.9767478,Q3 2020,CONSUMER DISCRETIONARY,"","",18.0061
Guardant health inc,GH,"",1118537.0,144158000.0,0.5393,0.6562,38,0.0,0.0,,1.1188460,Q2 2019,HEALTH CARE,"","",79.71
Micron technology  inc.,MU,"",1829932.0,137574000.0,0.5146,0.451,39,0.0,0.0,,0.1638390,Q1 2018,INFORMATION TECHNOLOGY,"","",46.33
Datadog inc,DDOG,"",1333596.0,131279000.0,0.4911,0.7268,40,-22000.0,-1.622902,reduction,0.6410016,Q3 2019,INFORMATION TECHNOLOGY,"","",35.66
Best buy co.  inc.,BBY,"",1242544.0,123993000.0,0.4638,0.0179,41,1211858.0,3949.221143,addition,0.4798489,Q1 2018,CONSUMER DISCRETIONARY,"","",100.074
Wynn resorts ltd,WYNN,"",1070682.0,120805000.0,0.4519,0.3257,42,206563.0,23.904462,addition,0.9925614,Q2 2020,CONSUMER DISCRETIONARY,"","",81.8868
Live nation entertainment inc,LYV,"",1494413.0,109809000.0,0.4108,0.2625,43,566300.0,61.016277,addition,0.7002312,Q4 2019,COMMUNICATIONS,"","",55.3762
Stitch fix inc,SFIX,"",1739529.0,102145000.0,0.3821,,44,1739529.0,,new,2.7654416,Q4 2019,CONSUMER DISCRETIONARY,"","",58.72
Microsoft corp.,MSFT,"",457536.0,101765000.0,0.3807,0.5051,45,0.0,0.0,,0.0060517,Q4 2017,INFORMATION TECHNOLOGY,"","",101.95
Deckers outdoor corp,DECK,"",353201.0,101291000.0,0.3789,0.3098,46,84899.0,31.643074,addition,1.2576565,Q3 2020,CONSUMER DISCRETIONARY,"","",236.0595
Root  inc.,ROOT,"",4548046.0,71450000.0,0.2673,,47,4548046.0,,new,7.6510287,Q4 2020,FINANCE,"","",15.71
Under armour inc,UAA,"",3884714.0,66701000.0,0.2495,0.1961,48,557349.0,16.750462,addition,2.0604796,Q2 2020,CONSUMER DISCRETIONARY,"","",12.0737
Tjx companies inc.,TJX,"",964250.0,65849000.0,0.2463,0.1264,49,531526.0,122.832568,addition,0.0803119,Q1 2018,CONSUMER DISCRETIONARY,"","",62.5907
Lyft inc,LYFT,"",1041995.0,51193000.0,0.1915,,50,1041995.0,,new,0.3375206,Q4 2020,CONSUMER DISCRETIONARY,"","",49.13
Roku inc,ROKU,"",146153.0,48526000.0,0.1815,,51,146153.0,,new,0.1341020,Q4 2020,INFORMATION TECHNOLOGY,"","",332.02
Okta inc,OKTA,"",186639.0,47455000.0,0.1775,0.2095,52,0.0,0.0,,0.1539717,Q1 2019,INFORMATION TECHNOLOGY,"","",135.17
Align technology inc,ALGN,"",87875.0,46959000.0,0.1757,0.151,53,0.0,0.0,,0.1114452,Q2 2020,HEALTH CARE,"","",274.44
Boeing company,BA,"",209359.0,44815000.0,0.1676,,54,209359.0,,new,0.0370856,Q4 2019,INDUSTRIALS,"","",214.06
Under armour inc cl c,UA,"",2925676.0,43534000.0,0.1628,0.1298,55,412194.0,16.399322,addition,1.2627891,Q3 2020,CONSUMER DISCRETIONARY,"","",10.5501
Li auto inc. ads,LI,"",1475012.0,42525000.0,0.1591,0.0491,56,937457.0,174.39276,addition,0.1643295,Q3 2020,CONSUMER DISCRETIONARY,"","",24.6608
Green dot corp,GDOT,"",711040.0,39676000.0,0.1484,0.3324,57,-540255.0,-43.17567,reduction,1.3295491,Q2 2019,FINANCE,"","",28.48
Liberty media corp series c,FWONK,"",832358.0,35458000.0,0.1326,0.1685,58,-52701.0,-5.954518,reduction,0.4090255,Q2 2020,COMMUNICATIONS,"","",31.71
American eagle outfitters inc,AEO,"",1710320.0,34326000.0,0.1284,0.2935,59,-2065079.0,-54.698298,reduction,1.0291718,Q3 2020,CONSUMER DISCRETIONARY,"","",14.81
Inovio pharmaceuticals inc,INO,"",3576923.0,31656000.0,0.1184,0.2178,60,0.0,0.0,,2.1114129,Q2 2020,HEALTH CARE,"","",23.4
Ribbit leap  ltd.,LEAP.UN,"",1830000.0,27395000.0,0.1025,0.1249,61,0.0,0.0,,No Data,Q3 2020,FINANCE,"","",13.0
Urban outfitters inc.,URBN,"",1005942.0,25752000.0,0.0963,0.245,62,-1237574.0,-55.162254,reduction,1.0287138,Q3 2020,CONSUMER DISCRETIONARY,"","",20.81
Ke holdings inc.,BEKE,"",406538.0,25018000.0,0.0936,0.1609,63,-93462.0,-18.6924,reduction,0.0344880,Q3 2020,INFORMATION TECHNOLOGY,"","",61.3
Nikola corp,NKLA,"",1203517.0,18366000.0,0.0687,0.3974,64,-2493950.0,-67.45023,reduction,3.8948770,Q2 2020,FINANCE,"","",22.13
Lightspeed pos inc.,LSPD,"",248162.0,17468000.0,0.0653,,65,248162.0,,new,0.2088185,Q4 2020,INFORMATION TECHNOLOGY,"","",70.39
Snap inc class a,SNAP,"",343000.0,17174000.0,0.0642,,66,343000.0,,new,0.0277799,Q4 2020,UTILITIES AND TELECOMMUNICATIONS,"","",50.07
Mercadolibre inc,MELI,"",10133.0,16975000.0,0.0635,,67,10133.0,,new,0.0203189,Q4 2020,COMMUNICATIONS,"","",1675.22
Stoneco ltd,STNE,"",198455.0,16654000.0,0.0623,,68,198455.0,,new,0.0878708,Q4 2020,FINANCE,"","",83.92
Coupa software inc,COUP,"",47005.0,15930000.0,0.0596,0.0613,69,4445.0,10.444079,addition,0.0651253,Q3 2020,INFORMATION TECHNOLOGY,"","",280.3555
Eastman kodak co,KODK,"",1125000.0,9158000.0,0.0343,0.0579,70,-125000.0,-10.0,reduction,1.4579465,Q3 2020,INFORMATION TECHNOLOGY,"","",8.82
Zoominfo technologies inc.,ZI,"",189144.0,9122000.0,0.0341,,71,189144.0,,new,0.2731696,Q4 2020,COMMUNICATIONS,"","",48.23
Opendoor technologies  inc.,OPEN,"",337760.0,7677000.0,0.0287,,72,337760.0,,new,0.8158454,Q4 2020,CONSUMER DISCRETIONARY,"","",22.73
Sorrento therapeutics inc,SRNE,"",750000.0,5119000.0,0.0191,0.0439,73,0.0,0.0,,0.2740214,Q2 2020,INFORMATION TECHNOLOGY,"","",6.28
Dexcom inc,DXCM,"",9513.0,3517000.0,0.0132,0.0784,74,-26713.0,-73.739855,reduction,0.0099065,Q2 2020,HEALTH CARE,"","",405.4
Velodyne lidar inc,VLDR,"",75000.0,1712000.0,0.0064,,75,75000.0,,new,0.2461437,Q4 2020,INFORMATION TECHNOLOGY,"","",
Atlassian corp plc,TEAM,"",891.0,208000.0,0.0008,,76,891.0,,new,0.0006742,Q4 2020,INFORMATION TECHNOLOGY,"","",233.87
3d systems corp.,DDD,"",0.0,0.0,,0.0248,"",-961067.0,-100.0,soldall,0.0000000,Q1 2017,INDUSTRIALS,"","",7.71
Liberty broadband corp class c,LBRDK,"",0.0,0.0,,0.2742,"",-365677.0,-100.0,soldall,0.0000000,Q2 2016,COMMUNICATIONS,"","",60.02
Teekay tankers ltd,TNK,"",0.0,0.0,,0.0389,"",-684621.0,-100.0,soldall,0.0000000,Q2 2020,TRANSPORTS,"","",12.82
Stratasys ltd,SSYS,"",0.0,0.0,,0.0299,"",-456847.0,-100.0,soldall,0.0000000,Q2 2015,INFORMATION TECHNOLOGY,"","",15.95
Graftech international ltd,EAF,"",0.0,0.0,,0.0391,"",-1090232.0,-100.0,soldall,0.0000000,Q3 2020,INDUSTRIALS,"","",6.84
Hertz global hld,HTZGQ1,"",0.0,0.0,,0.0065,"",-1114411.0,-100.0,soldall,0.0000000,Q2 2018,CONSUMER DISCRETIONARY,"","",6.58
Smartsheet inc,SMAR,"",0.0,0.0,,1.1641,"",-4487942.0,-100.0,soldall,0.0000000,Q2 2019,INFORMATION TECHNOLOGY,"","",45.31
Dht holdings inc,DHT,"",0.0,0.0,,0.0478,"",-1763131.0,-100.0,soldall,0.0000000,Q2 2020,ENERGY,"","",5.13
Macerich company (the),MAC,"",0.0,0.0,,0.003,"",-85238.0,-100.0,soldall,0.0000000,Q3 2020,REAL ESTATE,"","",6.79
Vivint solar inc,VSLR1,"",0.0,0.0,,2.5845,"",-11627907.0,-100.0,soldall,N/A,Q1 2020,ENERGY,"","",42.35
Smiledirectclub inc,SDC,"",0.0,0.0,,0.052,"",-848957.0,-100.0,soldall,0.0000000,Q1 2020,HEALTH CARE,"","",4.67
Lumen technologies  inc,LUMN,"",0.0,0.0,,0.0379,"",-716117.0,-100.0,soldall,0.0000000,Q3 2020,UTILITIES AND TELECOMMUNICATIONS,"","",10.09
Fitbit inc,FIT2,"",0.0,0.0,,0.1161,"",-3178570.0,-100.0,soldall,0.0000000,Q4 2015,INFORMATION TECHNOLOGY,"","",6.66
Nordic american tanker shipping ltd,NAT,"",0.0,0.0,,0.0479,"",-2617878.0,-100.0,soldall,0.0000000,Q3 2020,ENERGY,"","",3.49
