Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Crowdstrike holdings inc,CRWD,"",125000.0,7289000.0,0.1779,0.1496,19,45000.0,56.25,addition,0.0635518,Q2 2019,INFORMATION TECHNOLOGY,"","",64.6972
United airlines holdings inc,UAL,CALL,13150.0,6246000.0,0.1524,0.3406,20,-9425.0,-41.749723,reduction,N/A,Q1 2019,TRANSPORTS,"","",
Ranpak holdings corp,PACK,"",1000000.0,6060000.0,0.1479,0.2423,21,0.0,0.0,,N/A,Q2 2019, ,"","",
Norwegian cruise line holdings ltd,NCLH,"",110000.0,5695000.0,0.139,0.1028,22,40000.0,57.142857,addition,0.0510204,Q4 2017,CONSUMER DISCRETIONARY,"","",50.9491
Uber technologies inc,UBER,CALL,15000.0,3475000.0,0.0848,,23,15000.0,,new,N/A,Q3 2019,CONSUMER DISCRETIONARY,"","",
Datadog inc,DDOG,"",100000.0,3391000.0,0.0827,,24,100000.0,,new,No Data,Q3 2019,INFORMATION TECHNOLOGY,"","",33.91
Angi homeservices inc,ANGI,"",470000.0,3330000.0,0.0813,,25,470000.0,,new,0.0926218,Q3 2019,COMMUNICATIONS,"","",7.09
Allegiant travel co,ALGT,"",20000.0,2993000.0,0.073,0.0786,26,0.0,0.0,,0.1226242,Q4 2018,TRANSPORTS,"","",100.22
Peloton interactive inc,PTON,"",100000.0,2510000.0,0.0612,,27,100000.0,,new,No Data,Q3 2019,CONSUMER DISCRETIONARY,"","",25.1
Skywest inc,SKYW,"",35000.0,2009000.0,0.049,0.0581,28,0.0,0.0,,0.0683193,Q4 2018,TRANSPORTS,"","",47.84
Mesa air group inc,MESA,"",290000.0,1956000.0,0.0477,0.0626,29,40000.0,16.0,addition,0.9232728,Q3 2018,TRANSPORTS,"","",10.3966
Royal caribbean cruises ltd,RCL,"",10000.0,1083000.0,0.0264,,30,10000.0,,new,0.0047719,Q3 2019,CONSUMER DISCRETIONARY,"","",108.33
Tesla inc,TSLA,PRN,0.0,0.0,,0.1562,"",-30000000.0,-100.0,soldall,N/A,Q2 2018,CONSUMER DISCRETIONARY,"","",
Yelp inc.,YELP,"",0.0,0.0,,0.2808,"",-300000.0,-100.0,soldall,0.0000000,Q1 2017,INDUSTRIALS,"","",40.79
Tableau software inc,DATA,"",0.0,0.0,,15.8842,"",-3494020.0,-100.0,soldall,N/A,Q3 2015,INFORMATION TECHNOLOGY,"","",62.2
Grubhub inc,GRUB1,"",0.0,0.0,,0.3549,"",-83079.0,-100.0,soldall,0.0000000,Q2 2019,COMMUNICATIONS,"","",77.99
