Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2018-01-30,254.78830456383724,256.7176850193191,253.5441110154025,254.03097534179688,131796400,0.0,0.0,0.0
2018-01-31,254.90551284759596,255.4193961446011,253.05724436356087,254.1571807861328,108364800,0.0,0.0,0.0
2018-02-01,253.4088468199662,255.2029946028503,253.05721498544807,253.8686370849609,90102500,0.0,0.0,0.0
2018-02-02,252.5163638791437,252.65162388110176,248.3059698474869,248.342041015625,173174800,0.0,0.0,0.0
2018-02-05,246.5388084884352,248.7026103140164,237.39670931899596,237.9556884765625,294681800,0.0,0.0,0.0
2018-02-06,234.3583702268182,243.1578622656986,233.2404118991429,242.6439514160156,355026800,0.0,0.0,0.0
2018-02-07,242.07600252696068,245.55611360226376,241.24653074723236,241.32769775390625,167376100,0.0,0.0,0.0
2018-02-08,241.6341982651347,241.7784554018256,232.23965515562776,232.27572631835935,246449500,0.0,0.0,0.0
2018-02-09,235.13372530749365,237.6671809247601,228.02923373385184,235.7648468017578,283565300,0.0,0.0,0.0
2018-02-12,237.86549411761595,240.73255937438012,235.90906731466907,239.22689819335935,143736000,0.0,0.0,0.0
2018-02-13,237.9917716099881,240.3809701524871,237.396721263024,239.82199096679688,81223600,0.0,0.0,0.0
2018-02-14,238.298280075426,243.4283084812244,238.2892554075949,243.05865478515625,120735700,0.0,0.0,0.0
2018-02-15,244.84381733496696,246.1691504006848,242.31935898804932,246.16012573242188,111200300,0.0,0.0,0.0
2018-02-16,245.520035781222,248.22479520959087,245.4749399488744,246.23226928710935,160420100,0.0,0.0,0.0
2018-02-20,245.2585403171488,246.73715517793423,243.8791142649441,244.69053649902344,86369700,0.0,0.0,0.0
2018-02-21,245.1413596890084,247.68384017929904,243.37425788296864,243.47341918945312,98883700,0.0,0.0,0.0
2018-02-22,244.42009246891772,246.17816954054584,243.10378395390515,243.7889709472656,110511300,0.0,0.0,0.0
2018-02-23,245.04209709557205,247.6747131347656,244.5552328910871,247.6747131347656,92766400,0.0,0.0,0.0
2018-02-26,248.7746857658836,250.65000056184184,248.1706383902202,250.55081176757807,86491400,0.0,0.0,0.0
2018-02-27,250.7402102827503,251.47052066659904,247.35926088112527,247.42237854003903,99099200,0.0,0.0,0.0
2018-02-28,248.54930044139908,249.0091182512953,244.5913509577121,244.91590881347656,121907800,0.0,0.0,0.0
2018-03-01,244.69956839545975,246.2863692657637,239.8219826643748,241.3546905517578,176855100,0.0,0.0,0.0
2018-03-02,239.64165933843896,243.17589020974705,238.75812225628744,242.59886169433597,139083200,0.0,0.0,0.0
2018-03-05,241.38174892999717,246.03393828992944,241.27353544459285,245.4028167724609,97307400,0.0,0.0,0.0
2018-03-06,246.4036143545808,246.48478136360856,244.49225510605876,246.02496337890625,79213200,0.0,0.0,0.0
2018-03-07,243.807037706326,246.2953977802266,243.6086875722826,245.9347686767578,87063500,0.0,0.0,0.0
2018-03-08,246.6289888205072,247.2510857388097,245.61021913479345,247.1248779296875,66901200,0.0,0.0,0.0
2018-03-09,248.5674918428869,251.42550659179688,248.2429062873784,251.42550659179688,113625300,0.0,0.0,0.0
2018-03-12,251.7228865347936,252.3630050543973,250.7130868447882,251.1097869873047,71924800,0.0,0.0,0.0
2018-03-13,252.2999139263098,252.8138247350568,248.86487222865347,249.48696899414065,91968900,0.0,0.0,0.0
2018-03-14,250.4697013554398,250.65902678470025,247.6387345276485,248.2067108154297,105895100,0.0,0.0,0.0
2018-03-15,248.72963387005032,249.38777426265185,247.4223227239773,247.9362335205078,83433000,0.0,0.0,0.0
2018-03-16,248.4766873315106,249.2823262805826,248.15082952588537,248.20513916015625,100343700,1.097,0.0,0.0
2018-03-19,247.43568032566228,248.38612641340987,243.1540872756634,244.8468017578125,109208400,0.0,0.0,0.0
2018-03-20,245.2541990733853,245.91500315603605,244.56624017223848,245.2632598876953,59757300,0.0,0.0,0.0
2018-03-21,245.2179548427738,247.36326812707807,244.57527246369395,244.79251098632807,78709600,0.0,0.0,0.0
2018-03-22,242.51141335440056,243.38039503256428,238.3927490410262,238.6733856201172,148785900,0.0,0.0,0.0
2018-03-23,239.1259817776649,239.46090035719016,233.38700661300084,233.58615112304688,183534800,0.0,0.0,0.0
2018-03-26,237.27941221068116,240.26655274870575,234.81727403939735,239.9768829345703,141956100,0.0,0.0,0.0
2018-03-27,240.936380083492,241.4794763697816,234.3012683335481,235.89442443847656,129941400,0.0,0.0,0.0
2018-03-28,236.0302272527871,237.74106363622644,234.06593669673825,235.1974334716797,146452300,0.0,0.0,0.0
2018-03-29,236.36511779710895,240.11264793022085,235.2064663421988,238.20266723632807,111601600,0.0,0.0,0.0
2018-04-02,237.65953193980863,238.18456182553868,230.52658685198523,233.06114196777344,186286300,0.0,0.0,0.0
2018-04-03,234.32845498768424,236.53713893346972,232.49090530424493,236.0483245849609,119956900,0.0,0.0,0.0
2018-04-04,232.4094151378351,239.29795357898072,232.2736410628354,238.5738067626953,123715300,0.0,0.0,0.0
2018-04-05,240.37515770504933,241.36184717720369,239.2617825864618,240.45664978027344,82652600,0.0,0.0,0.0
2018-04-06,238.4470648748861,239.97682276880684,233.540883766592,235.0978240966797,179521200,0.0,0.0,0.0
2018-04-09,236.59140355182075,239.73243915066445,235.2969780991967,236.2564849853516,105442900,0.0,0.0,0.0
2018-04-10,239.21646826158027,240.81868508006943,238.04878369403656,240.01304626464844,103529000,0.0,0.0,0.0
2018-04-11,238.4923373391156,240.45662766454095,238.41993370877063,238.75485229492188,91140200,0.0,0.0,0.0
2018-04-12,240.1126951384327,241.68772993187736,239.93164459058235,240.7191619873047,68890500,0.0,0.0,0.0
2018-04-13,242.05880089758,242.17648096045525,238.98113576025773,240.01304626464844,85079200,0.0,0.0,0.0
2018-04-16,241.68771667704164,242.77396465570067,240.8458896870194,241.9864196777344,63405300,0.0,0.0,0.0
2018-04-17,243.7967875290171,245.1907991680384,243.27178522634784,244.5752716064453,64682000,0.0,0.0,0.0
2018-04-18,245.02789583691768,245.58005301241977,244.2856273105148,244.75634765625,57303900,0.0,0.0,0.0
