Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-08-10,12.138047761239797,12.322657108306885,12.068819728236305,12.184200286865234,881127,0.0,0.0
1998-08-11,12.138050463113808,12.1611267310632,11.861136758590794,11.930365562438965,753474,0.0,0.0
1998-08-12,11.884213584528212,12.13805103302002,11.884213584528212,12.13805103302002,444962,0.0,0.0
1998-08-13,11.953440040643052,12.276506253110488,11.953440040643052,12.022668838500977,352279,0.0,0.0
1998-08-14,12.11497665523326,12.438042961256944,12.091901138032988,12.322662353515623,610374,0.0,0.0
1998-08-17,12.27651059084212,12.299586864948436,11.861139923233532,11.976520538330078,877051,0.0,0.0
1998-08-18,11.953439008508644,12.438038285366474,11.953439008508644,12.391885757446287,940770,0.0,0.0
1998-08-19,12.461115625296843,12.461115625296843,11.90728826417254,12.022668838500977,577549,0.0,0.0
1998-08-20,12.02267066607688,12.461117519521409,12.02267066607688,12.29958438873291,709278,0.0,0.0
1998-08-21,11.907286643981934,12.184200286865234,11.838058610978443,12.184200286865234,819339,0.0,0.0
1998-08-24,12.461118170911172,12.53034622747655,12.276508761011955,12.414965629577637,762699,0.0,0.0
1998-08-25,12.461116047699475,12.530344092469296,11.999593734741213,11.999593734741213,1857940,0.0,0.0
1998-08-26,11.999597263613138,11.999597263613138,11.72268273679374,11.74575901031494,1278674,0.0,0.0
1998-08-27,11.722682007306156,11.791910823561738,11.514996313974375,11.53807258605957,996980,0.0,0.0
1998-08-28,11.538069714368456,11.745755356009695,11.514993448026676,11.56114673614502,555237,0.0,0.0
1998-08-31,11.514997744591795,11.56115104993122,10.13042955724678,10.361190795898438,2265142,0.0,0.0
1998-09-01,10.338108876916472,10.522718220312452,9.715052815101698,9.968890190124512,1753672,0.0,0.0
1998-09-02,10.061200691010812,10.130429515582628,9.922743797302246,9.922743797302246,3990494,0.0,0.0
1998-09-03,9.415064858175745,9.668902265210964,9.091999410783073,9.599674224853516,1974007,0.0,0.0
1998-09-04,9.645827522202833,9.899664969297405,9.59967573982601,9.807360649108888,674951,0.0,0.0
1998-09-08,9.830435713676556,10.107349395751951,9.738130649361576,10.107349395751951,721507,0.0,0.0
1998-09-09,9.96889167067182,10.084272999577024,9.922739894544502,10.038121223449709,1011569,0.0,0.0
1998-09-10,9.876585157859216,10.13042249449207,9.761204618974697,9.945813179016112,999125,0.0,0.0
1998-09-11,9.922736321432629,10.15349738527797,9.876584561924254,10.01504135131836,766990,0.0,0.0
1998-09-14,10.19965065565533,10.19965065565533,10.01504135131836,10.01504135131836,342839,0.0,0.0
1998-09-15,9.968895591581727,10.038125171588604,9.807363178450952,9.922743797302246,1114764,0.0,0.0
1998-09-16,9.968895318922204,9.968895318922204,9.461220307687912,9.507372856140137,2073770,0.0,0.0
1998-09-17,9.41506609907288,9.53044744060036,9.368913562461886,9.461217880249023,1756676,0.0,0.0
1998-09-18,9.553521694325385,9.78428359153129,9.507369163797255,9.599674224853516,923392,0.0,0.0
1998-09-21,9.507374322785036,9.761212622995316,9.415069967076398,9.553526878356934,872545,0.0,0.0
1998-09-22,9.59967943392883,9.807364423132055,9.507374322785036,9.553526878356934,1083870,0.0,0.0
1998-09-23,9.572018906184558,9.965072696472523,9.572018906184558,9.941951751708984,739958,0.023305,0.0
1998-09-24,9.941948106977238,9.941948106977238,9.59513633335802,9.641377449035645,1416840,0.0,0.0
1998-09-25,9.618260131018667,9.687622203618456,9.387051456258911,9.433293342590332,851735,0.0,0.0
1998-09-28,9.479532184362226,9.61825780987832,9.433291066087357,9.502653121948242,1230188,0.0,0.0
1998-09-29,9.456416024256866,9.502657162192076,9.040241241455078,9.040241241455078,5798446,0.0,0.0
1998-09-30,9.017120139577344,9.178966011821904,8.8321533203125,8.8321533203125,2739925,0.0,0.0
1998-10-01,8.577825915617348,8.577825915617348,7.953563264587125,8.092288970947266,2462736,0.0,0.0
1998-10-02,8.115406608161603,8.46221925099534,8.115406608161603,8.254132270812988,1633314,0.0,0.0
1998-10-05,8.346619221833176,8.46222323828305,8.2310152053833,8.2310152053833,3976763,0.0,0.0
1998-10-06,8.231011690968781,8.254132635766297,7.167453528564888,7.352420330047607,7647804,0.0,0.0
1998-10-07,7.39866111954907,7.74547296925277,7.329298295469958,7.722352027893066,3402433,0.0,0.0
1998-10-08,7.491143684207114,7.722351570309488,7.375539741155927,7.606747627258301,2892679,0.0,0.0
1998-10-09,7.65299252019782,7.861079548233746,7.398663593977226,7.4680256843566895,2164521,0.0,0.0
1998-10-12,7.537388477058795,8.092288223666865,7.537388477058795,8.02292537689209,1627092,0.0,0.0
1998-10-13,8.069170012274872,8.531586120061748,7.976686942097055,8.462224006652832,1213239,0.0,0.0
1998-10-14,8.369736524477316,9.086482086818451,8.369736524477316,8.878395080566406,1285111,0.0,0.0
1998-10-15,8.693425120756585,9.109599703445024,8.670304184457708,8.94775390625,1833482,0.0,0.0
1998-10-16,9.155842305456416,9.687620899068236,9.13272136540421,9.479533195495604,1791432,0.0,0.0
1998-10-19,9.47953241841911,9.803224795718377,9.363929241429023,9.71074104309082,1486781,0.0,0.0
1998-10-20,9.71074588101126,9.849470822168565,9.525779040502336,9.68762493133545,627752,0.0,0.0
1998-10-21,9.710740259429432,9.710740259429432,9.2252028680094,9.41016960144043,919959,0.0,0.0
1998-10-22,9.479531653416366,9.479531653416366,9.294565676882456,9.41016960144043,673235,0.0,0.0
1998-10-23,9.387057444351496,9.43329936018107,9.155849378999276,9.178970336914062,2128264,0.0,0.0
1998-10-26,9.202088497536916,9.248329642412074,9.01712164734349,9.15584659576416,600290,0.0,0.0
1998-10-27,9.202084185560834,9.572016955704438,9.202084185560834,9.479533195495604,1173978,0.0,0.0
1998-10-28,9.456412003673371,9.61825780987832,9.271445259882409,9.502653121948242,668301,0.0,0.0
1998-10-29,9.45641147253091,9.733860437288012,9.45641147253091,9.641377449035645,562316,0.0,0.0
1998-10-30,9.941951751708984,9.988192884338666,9.710743817868394,9.941951751708984,1762897,0.0,0.0
1998-11-02,9.96507278183044,10.681818291152585,9.941951836868856,10.381247520446776,1450523,0.0,0.0
1998-11-03,10.288770807462384,10.681824842171878,10.057562729844532,10.63558292388916,954930,0.0,0.0
1998-11-04,10.635576401229416,10.797422259063111,10.080676749740968,10.381247520446776,2025069,0.0,0.0
1998-11-05,10.381244408879454,10.728056965558409,10.150036542358269,10.704936027526855,785870,0.0,0.0
1998-11-06,10.7280631020776,10.88990824708056,10.63557929705007,10.82054615020752,759481,0.0,0.0
1998-11-09,10.77430129030174,10.77430129030174,10.473731277157276,10.58933448791504,1298627,0.0,0.0
1998-11-10,10.45061065572814,10.63557670694276,10.42748895320453,10.54309368133545,644486,0.0,0.0
1998-11-11,10.519972433318888,10.612455456267828,10.288764497497835,10.381247520446776,416856,0.0,0.0
1998-11-12,10.17315711141712,10.219399746140734,9.84946623732386,10.103795051574709,1939895,0.0,0.0
1998-11-13,10.126923706766592,10.358131758274787,10.08068179370584,10.311890602111816,1143727,0.0,0.0
1998-11-16,10.381253887129953,10.681824842171878,10.381253887129953,10.63558292388916,1037314,0.0,0.0
1998-11-17,10.566213285881728,10.797421199003454,10.54309234319009,10.612454414367676,479288,0.0,0.0
1998-11-18,10.612455432825552,10.728060157378115,10.358126552604713,10.58933448791504,540862,0.0,0.0
1998-11-19,10.612452821987,10.612452821987,10.473728700447149,10.566211700439451,408275,0.0,0.0
1998-11-20,10.704937997716655,10.889904022216797,10.566213100892892,10.889904022216797,504175,0.0,0.0
1998-11-23,10.843662148303478,11.167354583740234,10.843662148303478,11.167354583740234,611018,0.0,0.0
1998-11-24,11.074869364792631,11.190473304310553,10.751178485521905,10.774298667907717,524771,0.0,0.0
1998-11-25,10.751179882290348,10.91302572140096,10.751179882290348,10.889904022216797,677311,0.0,0.0
1998-11-27,10.843662896744926,11.051750634996242,10.843662896744926,10.959267616271973,108130,0.0,0.0
1998-11-30,10.797421071729856,10.913025783825368,10.681817116531665,10.866783142089844,771925,0.0,0.0
1998-12-01,10.797419022755896,10.86678107995338,10.704936027526855,10.704936027526855,1154454,0.0,0.0
1998-12-02,10.681817816997896,10.797421779776885,10.635575929127356,10.751180648803713,434234,0.0,0.0
1998-12-03,10.658696112463163,10.79742100927808,10.635575170177791,10.681817054748535,682675,0.0,0.0
1998-12-04,10.704937997716655,10.91302572140096,10.704937997716655,10.889904022216797,469634,0.0,0.0
1998-12-07,10.820545882872096,10.959270830088403,10.774303981500797,10.843666076660156,462340,0.0,0.0
1998-12-08,10.86678307992995,11.051749861327409,10.797421009966726,10.889904022216797,549444,0.0,0.0
