Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Alteryx inc,AYX,"",0.0,0.0,,1.4133,"",-3102175.0,-100.0,soldall,0.0000000,Q4 2020,INFORMATION TECHNOLOGY,"","",121.79
Wolfspeed inc (cree inc),WOLF,"",0.0,0.0,,0.7641,"",-1928743.0,-100.0,soldall,0.0000000,Q1 2020,INFORMATION TECHNOLOGY,"","",35.46
Under armour inc,UAA,"",0.0,0.0,,0.2495,"",-3884714.0,-100.0,soldall,0.0000000,Q2 2020,CONSUMER DISCRETIONARY,"","",12.07
Green dot corp,GDOT,"",0.0,0.0,,0.1484,"",-711040.0,-100.0,soldall,0.0000000,Q2 2019,FINANCE,"","",28.48
Tjx companies inc.,TJX,"",0.0,0.0,,0.2463,"",-964250.0,-100.0,soldall,0.0000000,Q1 2018,CONSUMER DISCRETIONARY,"","",62.59
Alibaba group holding ltd adr,BABA,"",0.0,0.0,,1.016,"",-1167006.0,-100.0,soldall,0.0000000,Q3 2016,COMMUNICATIONS,"","",135.7
American eagle outfitters inc,AEO,"",0.0,0.0,,0.1284,"",-1710320.0,-100.0,soldall,0.0000000,Q3 2020,CONSUMER DISCRETIONARY,"","",14.81
Jd.com inc adr,JD,"",0.0,0.0,,1.5004,"",-4562952.0,-100.0,soldall,0.0000000,Q3 2019,CONSUMER DISCRETIONARY,"","",40.5
Dynatrace inc,DT,"",0.0,0.0,,1.0468,"",-6466973.0,-100.0,soldall,0.0000000,Q3 2019,INFORMATION TECHNOLOGY,"","",24.79
Gap (the),GPS,"",0.0,0.0,,0.5584,"",-7393612.0,-100.0,soldall,0.0000000,Q3 2020,CONSUMER DISCRETIONARY,"","",18.01
Deckers outdoor corp,DECK,"",0.0,0.0,,0.3789,"",-353201.0,-100.0,soldall,0.0000000,Q3 2020,CONSUMER DISCRETIONARY,"","",236.06
Lyft inc,LYFT,"",0.0,0.0,,0.1915,"",-1041995.0,-100.0,soldall,0.0000000,Q4 2020,CONSUMER DISCRETIONARY,"","",49.13
Best buy co.  inc.,BBY,"",0.0,0.0,,0.4638,"",-1242544.0,-100.0,soldall,0.0000000,Q1 2018,CONSUMER DISCRETIONARY,"","",100.07
Sorrento therapeutics inc,SRNE,"",0.0,0.0,,0.0191,"",-750000.0,-100.0,soldall,0.0000000,Q2 2020,INFORMATION TECHNOLOGY,"","",6.28
Wynn resorts ltd,WYNN,"",0.0,0.0,,0.4519,"",-1070682.0,-100.0,soldall,0.0000000,Q2 2020,CONSUMER DISCRETIONARY,"","",81.89
Zoominfo technologies inc.,ZI,"",0.0,0.0,,0.0341,"",-189144.0,-100.0,soldall,0.0000000,Q4 2020,COMMUNICATIONS,"","",48.23
Atlassian corp plc,TEAM,"",0.0,0.0,,0.0008,"",-891.0,-100.0,soldall,0.0000000,Q4 2020,INFORMATION TECHNOLOGY,"","",233.87
Ke holdings inc.,BEKE,"",0.0,0.0,,0.0936,"",-406538.0,-100.0,soldall,0.0000000,Q3 2020,INFORMATION TECHNOLOGY,"","",61.3
Urban outfitters inc.,URBN,"",0.0,0.0,,0.0963,"",-1005942.0,-100.0,soldall,0.0000000,Q3 2020,CONSUMER DISCRETIONARY,"","",20.81
