Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Floor & decor holdings inc,FND,"",1413326.0,149389000.0,1.9247,2.1457,15,-157036.0,-9.999987,reduction,1.3429634,Q2 2020,CONSUMER DISCRETIONARY,"","",57.65
Duck creek technologies  inc.,DCT,"",3432080.0,149330000.0,1.9239,2.8683,16,-1008040.0,-22.70299,reduction,2.6057395,Q3 2020,INFORMATION TECHNOLOGY,"","",45.43
Fubotv inc,FUBO,"",4295360.0,137924000.0,1.777,1.3597,17,0.0,0.0,,3.0320179,Q4 2020,INFORMATION TECHNOLOGY,"","",
Meta platforms  inc.,FB,"",339374.0,118004000.0,1.5203,1.4304,18,0.0,0.0,,0.0142366,Q2 2016,COMMUNICATIONS,"","",158.83
Endeavor group holdings  inc.,EDR,"",4166667.0,115458000.0,1.4875,,19,4166667.0,,new,1.6056644,Q2 2021,COMMUNICATIONS,"","",27.71
Bumble inc,BMBL,"",2000000.0,115200000.0,1.4842,1.7854,20,0.0,0.0,,1.6694625,Q1 2021,INFORMATION TECHNOLOGY,"","",62.38
Datto holding corp.,MSP,"",3706333.0,103184000.0,1.3294,1.2152,21,0.0,0.0,,2.2839548,Q4 2020,INFORMATION TECHNOLOGY,"","",27.0
Airbnb  inc.,ABNB,"",660000.0,101072000.0,1.3022,8.6701,22,-2563630.0,-79.526186,reduction,0.3416422,Q4 2020,CONSUMER DISCRETIONARY,"","",146.8
Root  inc.,ROOT,"",9259259.0,100185000.0,1.2908,1.6868,23,0.0,0.0,,10.6559166,Q4 2020,FINANCE,"","",15.71
Playtika holding corp,PLTK,"",4125000.0,98340000.0,1.267,1.6062,24,0.0,0.0,,1.0069960,Q1 2021,INFORMATION TECHNOLOGY,"","",27.21
Roblox corp. class a,RBLX,"",964029.0,86743000.0,1.1176,1.8555,25,-1035970.0,-51.798526,reduction,0.1867390,Q1 2021,INFORMATION TECHNOLOGY,"","",64.83
Agora  inc. ads,API,"",1997733.0,83825000.0,1.08,1.4372,26,0.0,0.0,,2.0632269,Q2 2020,INFORMATION TECHNOLOGY,"","",44.17
Squarespace inc,SQSP,"",1284622.0,76319000.0,0.9833,,27,1284622.0,,new,1.4249833,Q2 2021,INFORMATION TECHNOLOGY,"","",59.41
Glbl-e online ltd,GLBE,"",1234852.0,70485000.0,0.9081,,28,1234852.0,,new,0.8681656,Q2 2021,INFORMATION TECHNOLOGY,"","",57.08
Tuya inc ads,TUYA,"",2850000.0,69825000.0,0.8996,0.8622,29,0.0,0.0,,0.5091468,Q1 2021,INFORMATION TECHNOLOGY,"","",21.14
Ironsource ltd,IS,"",6050000.0,63525000.0,0.8184,0.8973,30,50000.0,0.833333,addition,5.9082031,Q1 2021,FINANCE,"","",10.4504
Oscar health  inc.,OSCR,"",2543841.0,54693000.0,0.7046,0.9785,31,0.0,0.0,,1.4766935,Q1 2021,FINANCE,"","",26.88
Dlocal limited cl a,DLO,"",1000000.0,52530000.0,0.6768,,32,1000000.0,,new,0.6933749,Q2 2021, ,"","",13.142
Kanzhun ltd,BZ,"",1300000.0,51545000.0,0.6641,,33,1300000.0,,new,N/A,Q2 2021,INFORMATION TECHNOLOGY,"","",
Goodrx holdings  inc.,GDRX,"",1300000.0,46813000.0,0.6031,0.7259,34,0.0,0.0,,1.8690050,Q3 2020,HEALTH CARE,"","",55.6
Smartsheet inc,SMAR,"",611449.0,44220000.0,0.5697,1.8725,35,-1435534.0,-70.129259,reduction,0.4887215,Q4 2020,INFORMATION TECHNOLOGY,"","",69.29
Health assurance acq corp cl a,HAAC,"",4000000.0,40040000.0,0.5159,,36,4000000.0,,new,7.6190476,Q2 2021, ,"","",10.01
