Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Meta platforms  inc.,FB,"",339374.0,88882000.0,1.9967,3.2606,13,-94104.0,-21.70906,reduction,0.0141172,Q2 2016,COMMUNICATIONS,"","",158.83
Unity software inc.,U,"",1000000.0,87280000.0,1.9607,,14,1000000.0,,new,0.3796987,Q3 2020,INFORMATION TECHNOLOGY,"","",87.28
Agora  inc. ads,API,"",1997733.0,85863000.0,1.9288,2.923,15,0.0,0.0,,2.0133469,Q2 2020,INFORMATION TECHNOLOGY,"","",44.17
Ke holdings inc.,BEKE,"",1250000.0,76625000.0,1.7213,,16,1250000.0,,new,0.1108668,Q3 2020,INFORMATION TECHNOLOGY,"","",61.3
Ceridian hcm holding inc,CDAY,"",899808.0,74369000.0,1.6706,2.3628,17,0.0,0.0,,0.6087887,Q2 2018,INFORMATION TECHNOLOGY,"","",34.09
Goodrx holdings  inc.,GDRX,"",1300000.0,72280000.0,1.6237,,18,1300000.0,,new,2.9595860,Q3 2020,HEALTH CARE,"","",55.6
Servicenow inc,NOW,"",142205.0,68969000.0,1.5493,4.0869,19,-162380.0,-53.311883,reduction,0.0728883,Q1 2016,INFORMATION TECHNOLOGY,"","",116.33
Greensky inc,GSKY,"",14238605.0,63219000.0,1.4202,2.4003,20,-549091.0,-3.713161,reduction,18.6328776,Q2 2018,INFORMATION TECHNOLOGY,"","",10.94
Xpeng inc.,XPEV,"",1200000.0,24084000.0,0.541,,21,1200000.0,,new,0.1667262,Q3 2020,CONSUMER DISCRETIONARY,"","",20.07
Ncino  inc.,NCNO,"",275000.0,21912000.0,0.4922,,22,275000.0,,new,0.3017007,Q3 2020,FINANCE,"","",79.68
Oak street health  inc.,OSH,"",350019.0,18705000.0,0.4202,,23,350019.0,,new,0.1453394,Q3 2020,INFORMATION TECHNOLOGY,"","",53.44
Tencent music entertainment group,TME,"",481764.0,7116000.0,0.1599,0.2148,24,0.0,0.0,,0.0287186,Q4 2018,INFORMATION TECHNOLOGY,"","",13.25
Jfrog ltd.,FROG,"",70000.0,5926000.0,0.1331,,25,70000.0,,new,N/A,Q3 2020,INFORMATION TECHNOLOGY,"","",84.65
Sunlands online education group,STG,"",214975.76,4541000.0,0.102,0.1321,26,-23174.16,-9.730912,reduction,1.5973359,Q1 2018,CONSUMER DISCRETIONARY,"","",8.4
Peloton interactive inc,PTON,"",25800.0,2560000.0,0.0575,,27,25800.0,,new,0.0100973,Q3 2019,CONSUMER DISCRETIONARY,"","",99.24
Pinterest inc,PINS,"",50000.0,2076000.0,0.0466,0.0367,28,0.0,0.0,,0.0097875,Q1 2020,COMMUNICATIONS,"","",15.44
Crowdstrike holdings inc,CRWD,"",10000.0,1373000.0,0.0308,0.0332,29,0.0,0.0,,0.0054227,Q2 2020,INFORMATION TECHNOLOGY,"","",100.29
Bill.com holdings  inc.,BILL,"",11800.0,1184000.0,0.0266,0.0352,30,0.0,0.0,,0.0145383,Q4 2019,INFORMATION TECHNOLOGY,"","",38.05
Lemonade  inc.,LMND,"",10000.0,497000.0,0.0112,,31,10000.0,,new,0.0176708,Q3 2020,FINANCE,"","",49.72
Xp inc.,XP,"",9948.0,415000.0,0.0093,0.0138,32,0.0,0.0,,0.0028087,Q4 2019,FINANCE,"","",38.52
Dragoneer growth opportunities corp,DGNR.UN1,"",10000.0,123000.0,0.0028,,33,10000.0,,new,N/A,Q3 2020,FINANCE,"","",12.25
58.com inc adr,WUBA1,"",0.0,0.0,,2.0314,"",-1136873.0,-100.0,soldall,N/A,Q4 2014,CONSUMER DISCRETIONARY,"","",53.78
Arco platform ltd,ARCE,"",0.0,0.0,,0.3021,"",-209776.0,-100.0,soldall,0.0000000,Q2 2020,INFORMATION TECHNOLOGY,"","",43.48
Livongo health inc,LVGO1,"",0.0,0.0,,5.9037,"",-2370281.0,-100.0,soldall,0.0000000,Q3 2019,HEALTH CARE,"","",17.44
