Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Bigcommerce holdings  inc.,BIGC,"",1350000.0,78030000.0,0.1795,0.2219,56,0.0,0.0,,1.9699710,Q3 2020,INFORMATION TECHNOLOGY,"","",83.3
On24 inc.,ONTF,"",1600000.0,77616000.0,0.1786,,57,1600000.0,,new,3.4549773,Q1 2021,INFORMATION TECHNOLOGY,"","",48.51
Digitalocean holdings inc,DOCN,"",1700000.0,71621000.0,0.1648,,58,1700000.0,,new,1.6144349,Q1 2021,INFORMATION TECHNOLOGY,"","",42.13
Yatsen holding ltd ads,YSG,"",5714000.0,70568000.0,0.1623,0.2489,59,0.0,0.0,,1.4402401,Q4 2020,CONSUMER DISCRETIONARY,"","",17.0
Anaplan inc,PLAN,"",1280868.0,68975000.0,0.1587,0.2358,60,1.0,0.000078,addition,0.8913486,Q3 2019,INFORMATION TECHNOLOGY,"","",36.44
C3ai  inc.,AI,"",1000000.0,65910000.0,0.1516,0.3555,61,0.0,0.0,,1.0263603,Q4 2020,INFORMATION TECHNOLOGY,"","",138.75
Bumble inc,BMBL,"",1000000.0,62380000.0,0.1435,,62,1000000.0,,new,No Data,Q1 2021,INFORMATION TECHNOLOGY,"","",62.38
Tuya inc ads,TUYA,"",2850000.0,60249000.0,0.1386,,63,2850000.0,,new,0.5091468,Q1 2021,INFORMATION TECHNOLOGY,"","",21.14
Qualtrics intl inc,XM,"",1650000.0,54302000.0,0.1249,,64,1650000.0,,new,1.8735858,Q1 2021,INFORMATION TECHNOLOGY,"","",32.91
Academy sports and outdoors  inc.,ASO,"",1750000.0,47233000.0,0.1087,0.093,65,0.0,0.0,,1.6708532,Q4 2020,CONSUMER DISCRETIONARY,"","",20.73
Stoneco ltd,STNE,"",764596.0,46809000.0,0.1077,0.1647,66,-1187.0,-0.155005,reduction,0.4279095,Q4 2018,FINANCE,"","",18.44
Jfrog ltd.,FROG,"",1000000.0,44370000.0,0.1021,0.161,67,0.0,0.0,,1.0850109,Q3 2020,INFORMATION TECHNOLOGY,"","",84.65
Ozon holdings plc,OZON,"",750000.0,42053000.0,0.0967,0.0796,68,0.0,0.0,,0.3602255,Q4 2020,CONSUMER DISCRETIONARY,"","",41.41
Ironsource ltd,IS,"",4000000.0,41800000.0,0.0962,,69,4000000.0,,new,No Data,Q1 2021,FINANCE,"","",10.45
Root  inc.,ROOT,"",3106976.0,39552000.0,0.091,,70,3106976.0,,new,5.2077821,Q1 2021,FINANCE,"","",12.73
Visa inc,V,"",163000.0,34512000.0,0.0794,0.0913,71,0.0,0.0,,0.0096102,Q3 2016,FINANCE,"","",80.48
Datto holding corp.,MSP,"",1500000.0,34365000.0,0.0791,0.1038,72,0.0,0.0,,0.9313036,Q4 2020,INFORMATION TECHNOLOGY,"","",27.0
Chindata group holdings ltd ads,CD,"",1850000.0,30599000.0,0.0704,0.1136,73,0.0,0.0,,1.1329396,Q3 2020,INFORMATION TECHNOLOGY,"","",16.23
Twilio inc,TWLO,"",74701.0,25455000.0,0.0586,0.0648,74,0.0,0.0,,0.0466792,Q3 2018,INFORMATION TECHNOLOGY,"","",115.88
Soaring eagle acquisition corp,SRNGU1,"",2425000.0,24541000.0,0.0565,,75,2425000.0,,new,No Data,Q1 2021, ,"","",10.12
Dynatrace inc,DT,"",500000.0,24120000.0,0.0555,0.0554,76,0.0,0.0,,0.1769324,Q3 2019,INFORMATION TECHNOLOGY,"","",18.67
Xpeng inc.,XPEV,"",650000.0,23732000.0,0.0546,0.0713,77,0.0,0.0,,0.1338356,Q3 2020,CONSUMER DISCRETIONARY,"","",20.07
Smartsheet inc,SMAR,"",360000.0,23011000.0,0.0529,0.0639,78,0.0,0.0,,0.2944836,Q1 2019,INFORMATION TECHNOLOGY,"","",42.13
Revolution healthcare acquisition corp,REVHU,"",2250000.0,22613000.0,0.052,,79,2250000.0,,new,No Data,Q1 2021, ,"","",10.054
Linx sa,LINX1,"",3350000.0,22244000.0,0.0512,0.0609,80,0.0,0.0,,1.7686597,Q2 2019,INFORMATION TECHNOLOGY,"","",9.12
Altimeter growth corp.,AGCUU,"",1800000.0,21996000.0,0.0506,0.06,81,0.0,0.0,,3.6000000,Q4 2020,FINANCE,"","",13.0
Mongodb inc,MDB,"",82000.0,21929000.0,0.0504,0.0754,82,0.0,0.0,,0.1340166,Q4 2017,INFORMATION TECHNOLOGY,"","",132.5
Reinvent technology partners,RTP.UN1,"",2000000.0,21420000.0,0.0493,0.0628,83,0.0,0.0,,No Data,Q3 2020,TRANSPORTS,"","",11.49
Ajax i,AJAX.UN1,"",2000000.0,21260000.0,0.0489,0.0636,84,0.0,0.0,,No Data,Q4 2020,FINANCE,"","",12.41
Svf investment corp.,SVFAU,"",2000000.0,21120000.0,0.0486,,85,2000000.0,,new,3.8095238,Q1 2021,FINANCE,"","",10.56
Altimeter growth corp. 2,AGCB,"",1996000.0,20718000.0,0.0477,,86,1996000.0,,new,4.4355556,Q1 2021,FINANCE,"","",10.38
Ncino  inc.,NCNO,"",275000.0,18348000.0,0.0422,0.051,87,0.0,0.0,,0.2979590,Q3 2020,FINANCE,"","",79.68
Liberty media acquisition corp,LMACU,"",1700000.0,18207000.0,0.0419,,88,1700000.0,,new,3.4000000,Q1 2021,FINANCE,"","",10.71
Olo inc,OLO,"",681000.0,17972000.0,0.0413,,89,681000.0,,new,0.4795437,Q1 2021,INFORMATION TECHNOLOGY,"","",26.39
Duck creek technologies  inc.,DCT,"",350000.0,15799000.0,0.0363,0.0388,90,0.0,0.0,,0.2623633,Q3 2020,INFORMATION TECHNOLOGY,"","",45.43
Affirm holdings inc,AFRM,"",200000.0,14144000.0,0.0325,,91,200000.0,,new,0.1540918,Q1 2021,INFORMATION TECHNOLOGY,"","",70.72
Avalara inc,AVLR,"",100000.0,13343000.0,0.0307,0.0422,92,0.0,0.0,,0.1170595,Q2 2018,INFORMATION TECHNOLOGY,"","",53.37
Momentive global inc,MNTV,"",698871.0,12803000.0,0.0295,0.0457,93,0.0,0.0,,0.4844942,Q3 2018,INFORMATION TECHNOLOGY,"","",16.03
Cloudflare inc,NET,"",175000.0,12296000.0,0.0283,0.0341,94,0.0,0.0,,0.0699147,Q3 2019,INFORMATION TECHNOLOGY,"","",18.57
Svf investment corp 3,SVFC,"",1100000.0,11110000.0,0.0256,,95,1100000.0,,new,N/A,Q1 2021, ,"","",
Lead edge growth opps ltd,LEGAU,"",1000000.0,9970000.0,0.0229,,96,1000000.0,,new,No Data,Q1 2021, ,"","",9.97
Ldh growth corp i,LDHAU,"",960000.0,9715000.0,0.0223,,97,960000.0,,new,No Data,Q1 2021, ,"","",10.12
