Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Qualtrics intl inc,XM,"",800000.0,26328000.0,0.3768,,35,800000.0,,new,0.9084052,Q1 2021,INFORMATION TECHNOLOGY,"","",32.91
Acv auctions inc cl a,ACVA,"",750000.0,25958000.0,0.3715,,36,750000.0,,new,No Data,Q1 2021,CONSUMER DISCRETIONARY,"","",34.61
On24 inc.,ONTF,"",500000.0,24255000.0,0.3471,,37,500000.0,,new,1.0796804,Q1 2021,INFORMATION TECHNOLOGY,"","",48.51
Ceridian hcm holding inc,CDAY,"",266475.0,22456000.0,0.3214,0.425,38,0.0,0.0,,0.1815524,Q2 2018,INFORMATION TECHNOLOGY,"","",34.09
Poshmark inc,POSH,"",550000.0,22330000.0,0.3196,,39,550000.0,,new,4.9483932,Q1 2021,CONSUMER DISCRETIONARY,"","",40.6
Contextlogic inc,WISH,"",1321730.0,20883000.0,0.2989,0.3608,40,0.0,0.0,,0.2638184,Q4 2020,INFORMATION TECHNOLOGY,"","",18.24
Olo inc,OLO,"",750000.0,19793000.0,0.2833,,41,750000.0,,new,0.5281318,Q1 2021,INFORMATION TECHNOLOGY,"","",26.39
Oak street health  inc.,OSH,"",350019.0,18996000.0,0.2718,0.3204,42,0.0,0.0,,0.1453880,Q3 2020,INFORMATION TECHNOLOGY,"","",53.44
Ncino  inc.,NCNO,"",275000.0,18348000.0,0.2626,0.298,43,0.0,0.0,,0.2979590,Q3 2020,FINANCE,"","",79.68
Coursera inc,COUR,"",350000.0,15750000.0,0.2254,,44,350000.0,,new,0.2686728,Q1 2021,INFORMATION TECHNOLOGY,"","",45.0
Supernova partners acquisition co.,SPNV.UN1,"",700000.0,7028000.0,0.1006,,45,700000.0,,new,No Data,Q1 2021,REAL ESTATE,"","",10.7
Affirm holdings inc,AFRM,"",75000.0,5304000.0,0.0759,,46,75000.0,,new,0.0577844,Q1 2021,INFORMATION TECHNOLOGY,"","",70.72
Pinterest inc,PINS,"",25000.0,1851000.0,0.0265,0.0247,47,0.0,0.0,,0.0046955,Q1 2020,COMMUNICATIONS,"","",15.44
Dragoneer growth opportunities corp,DGNR.UN1,"",10000.0,104000.0,0.0015,0.0021,48,0.0,0.0,,No Data,Q3 2020,FINANCE,"","",12.25
Lemonade  inc.,LMND,"",0.0,0.0,,0.0183,"",-10000.0,-100.0,soldall,0.0000000,Q3 2020,FINANCE,"","",49.72
Sunlands online education group,STG,"",0.0,0.0,,0.0396,"",-194358.08,-100.0,soldall,0.0000000,Q1 2018,CONSUMER DISCRETIONARY,"","",8.4
Xp inc.,XP,"",0.0,0.0,,0.0059,"",-9948.0,-100.0,soldall,0.0000000,Q4 2019,FINANCE,"","",38.52
Tencent music entertainment group,TME,"",0.0,0.0,,0.0424,"",-147194.0,-100.0,soldall,0.0000000,Q4 2018,INFORMATION TECHNOLOGY,"","",13.25
Bill.com holdings  inc.,BILL,"",0.0,0.0,,0.0241,"",-11800.0,-100.0,soldall,0.0000000,Q4 2019,INFORMATION TECHNOLOGY,"","",38.05
Crowdstrike holdings inc,CRWD,"",0.0,0.0,,0.0317,"",-10000.0,-100.0,soldall,0.0000000,Q2 2020,INFORMATION TECHNOLOGY,"","",100.29
Jfrog ltd.,FROG,"",0.0,0.0,,0.0658,"",-70000.0,-100.0,soldall,0.0000000,Q3 2020,INFORMATION TECHNOLOGY,"","",84.65
